Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Love Beyond Frontier ,3.0,wang travels to thailand from hong kong to look for his mother he bumps into ple and win at the airport and exchanges bags with ple meanwhile wang arrived at his mothers house however she had moved away he meets pat who is living there instead and she thinks that he is a pervert after some mishaps she lets him live with her win and ple are best friends from childhood but win is secretly in love with her circumstances let these four meet again and live in the same building ple seems interested in wang what will happen next add synopsis in spanish,thailand,13,2019,drama , comedy , drama , friendship , romance , thailand ,,,,,,
Happy Birthday ,3.0,when his birthday is his sisters death day on his 17th birthday they can connect with each other and she needs help from him to redemption and to apologize from what she did to her exboyfriend,thailand,24,2018,drama , drama , fantasy , romance , supernatural , thailand ,wachirawit ruangwiwatphana support role,wachirawit ruangwiwatphana support role,wachirawit ruangwiwatphana support role,wachirawit ruangwiwatphana support role,wachirawit ruangwiwatphana support role,wachirawit ruangwiwatphana support role
Duen Pradab Dao ,3.0,pang and puen are twins who were separated pang is an actress in thailand and puen is a patissier in australia where she lives with her adopted family puen always felt like an outsider so when feilan her best friend tells her that she saw a lakorn with an actress just like her she decides to go to thailand and find out the truth pangs love interest is kanlong a businessman who liked her ever since he was young and puens love interest is warat an actor who initially tries to court pang,thailand,10,2017,drama , comedy , drama , romance , thailand ,drama ,,,,,,
Voice ,3.0,thai remake of the korean drama voice add synopsis in spanish,thailand,10,2019,drama , detective , investigation , mystery , thriller , thailand ,,,,,,
Rak Kan Panlawan ,3.0,tulyana is a tomboy who got dumped by her girlfriend three times so she decides to fall in love with a man instead her senior who works in the salvation army is the one who awakes the girly in her so she decides to flirt with him its not easy when he thinks of her as a sister but she wont easily give up methakawin is a new executive of the aquariumand tulyanas new boss they both have a problem with each other she stole his girlfriend in the past their love triangle starts to become complicated at the aquarium,thailand,10,2017,drama , animals , comedy , drama , romance , thailand ,paajaew yuthana lorphanpaibuldirector, siripipat thongpoomseansupport role, suriyon aroonwattanakulsuphanutsupport role, muench jacquelineanomasupport role, hiranyasap toonsupport role, sheranut yusanandasarochineesupport role
Panthakan Rak ,3.0,panthakan hiso godlike has the label of tragically handsome everywhere he appears tragedy ensues his looks and personality are complete opposites no one can handle him except his father panthakan doesnt care about anyone anyway his father pushes him out of his life so he can enjoy his new life with new family panthakan believes that his step mother and her children werent enough to come and take his father fortune but now they have included her niece in this money sucking who did they think they were panthakan wont have it the target is prapai the young girl who dares to defy him since this girl is defiant and knows no limits he will punish her or will punishment turn into something else  add synopsis in spanish,thailand,14,2018,drama , comedy , drama , romance , thailand ,drama ,,,,,,
Hua Jai Sila ,3.5,tor is a love child of a mistress and a wealthy hiso man after his mother dies from neglect tor is forced to live with his fathers family abused by his stepmother and stepbrother he turns to the girlnextdoor mingta who also suffers neglect at the hands of her so called mother and sister one night while being chased by his stepmother tor jumps into a river and is presumed dead though he survives he is taken under the wing of another prostitute who knew his mother and takes on a new life under the alias sila years later he returns as a notorious rich pimp with plans to avenge his mother and to get revenge for the torture and pain brought to him by his stepmother and stepbrother silas main goal is to hurt the people that hurt him as a child but he never expected to see the only friend he ever had as a child mingta as soon as they see each other she realizes that he looks familiar to her she notices a ring he wears around his neck and immediately comes to the conclusion that hes tor her childhood best friend that supposedly died but he denies it because of his revenge plan,thailand,27,2019,drama , drama , romance , thailand ,drama ,drama ,,,,,,
Tok Kra Dai Hua Jai Ploy Jone ,3.0,roikaew sacrificed her college tuition to get married with the head sheriff because he saved her fathers life from a gang who uses drugs at the end of their wedding the gang member interrupted and killed the sheriff the sheriffs last wish was for roikaew to take care of his 2 kids years pass and cholchat has finished his studies he became the new sheriff of the town coincidently roikaews father is the leader of the town so that means roikaew and cholchat get to meet each other every day to help their community cholchats girlfriend supasi came back from america and came to stay with cholchat and his worker she dislikes roikaew because they both used to go to the same university but then she would taunt her because she didnt get to finish school as cholchat got to know roikaew more he was falling for her and forgetting about supasi at the same time problems erupted in the community as drugs were being used again,thailand,13,2019,drama , comedy , drama , romance , thailand ,drama ,,,,,,
Luk Krung ,3.0,luk krung is the story of ravin a ballad singer who has a beautiful voice he meets and falls in love with petchlada the daughter of a senior military officer but their different social status became an obstacle for their love how will they overcome this barrier ,thailand,24,2019,drama , drama , music , romance , thailand ,drama , tae teetatch janyasirigoonsupport role, pantila winsupport role, phun chitnarong visessomparksupport role, broenner mariemain role, support role, karun komanuwong
The Best Twins ,3.0,the story of twin brothers per the straight and pond the gay pond is in a relationship with their neighbor tee the family life is shaken by the twins older sister pad she is against her brother pond being gay when ponds exboyfriend ball returns things start going even more chaotic,thailand,12,2019,drama , comedy , romance , thailand ,drama ,drama ,,,,,,
What the Duck: Final Call ,3.0,after pop fails to acquire his dream job as a flight attendant he decides to join the airlines catering service leaving his girlfriend mo to work as a flight attendant alone as they applied together pop is immediately,thailand,10,2019,drama , comedy , drama , life , romance , youth ,,,,,,
Wai Sab Saraek Kad ,2.5,saitip a psychologist providing counseling for kids and families comes back home with a degree in psychology and willingness to work korn son of a school owner is to inherit the school business from his mom he has to do everything to make his mom and the teachers accept him he initiates a project sweet broken home to help five trouble making kids who are about to get dismissed from the school they all similarly come from broken homes korn must succeed in his project or else the five kids would be dismissed saitip is hired as a new counseling teacher to help him solve this problem together,thailand,15,2016,drama , family , psychological , school , thailand ,drama ,,,,,,
He's Coming To Me ,3.5,after his death met is a ghost that is consumed by loneliness that is until he meets a strange boy that can see him the two bond in a state of happiness and joy as they develop into friends but what happens when met falls for the boy who is alive,thailand,10,2019,drama , drama , fantasy , friendship , romance , supernatural ,ampere suttatip wutchaipraditsupport role, nimjirawat nattapattunwa support role, wachirawit ruangwiwatprincesupport role, chittsawangdee pawattunwa main role, arpornsutinan chanagunsupport role, ruangroj prachayametmain role
Lah Dup Tawan ,3.0,in order to capture tawan a gang boss akkadetch plants a spy into his gang pupha was chosen by akkadeth to go undercover the moment he entered the police force together along with clumsy chaba they try to find enough evidence to put tawan behind bars,thailand,21,2016,drama , action , drama , romance , thailand ,drama ,,,,,,
Mia ,3.0,aruna and thada are the perfect match who have a beautiful daughter many people are jealous of this happy family upon returning from abroad arunas cousin kanya moves in with her family things become complicated when thada gets sexually involved with kanya how will aruna cope with her husbands decision,thailand,28,2018,drama , drama , family , romance , thailand ,drama ,,,,,,
Pleng Ruk Pleng Bpeun ,3.0,two guys who grew up in a temple are misunderstood as jailbirds they come back then meet a tomboyish girl and a undercover policewoman who disguised herself for an investigation at first the four are enemies but later romantic relationships are developed ,thailand,24,2019,drama , action , comedy , drama , music , romance ,,,,,,
Ruk Jung Eoi ,3.0,dr pailin aoey prides herself on being perfect she had a hard life at a young age which has hardened her heart and turned her into a selfish person she often insults and offends others without taking notice she has a close friend name kwanta who is also her competitor at the same time one day pailins world comes crashing down when she misdiagnoses a patient and on top of that her boyfriend has slept with her frenemy dr kwanta everyone continues to stomp on her and gossip as the perfect princess has finally fell from grace no one believes pailin is capable of being a doctor pailin decides to challenge everyones opinion by agreeing to work in a rural district stipulation is if she wins kwanta will get on her knees and apologize if pailin loses she will quit being a doctor for the rest of her life pailin travels to a rural province where she will continue her quarrels with village chief damrong ,thailand,10,2019,drama , comedy , romance , thailand ,drama ,drama ,,,,,,
Bangkok Vampire ,3.0,rosarin a vampire descendent lost her sister mysteriously coincidentally as other people in bangkok disappeared one by one she uses her psychic power to track down for her sister joined by nop an it geek who falls for her at first sight as the story reveals the evil vampire boss is collecting special blood for some rituals his cravings are about to fulfill with several elite assassins under his command rosarin needs to fight for her sister or she and bangkok would be collapsed by the evil vampire,thailand,8,2019,drama , action , detective , drama , supernatural , thailand ,,,,,,
What the Duck 2 ,3.0,new series  the novel duck duck this year will be back in the series what the duck the series love landing new series  this years duck duck series will be back in the series what the duck the series love landing filmed in august and the november tv line to watch it,thailand,18,2018,drama , comedy , drama , life , romance , youth ,strong charoenchai khantichaikhajohnoatmain role, art pakpoom juanchainatrambomain role, o sangwan puwanaipopmain role, mew suppasit jongcheveevatpreemain role,strong charoenchai khantichaikhajohnoatmain role,strong charoenchai khantichaikhajohnoatmain role
Mae Ai Sae Eun ,2.5,a story of daonin a poor country girl who was tricked to work as a prostitute in bangkok just as daonins life could not get any worse she was picked up by a talent spotter who groomed her into a highly sought after superstar seduced by her newfound fame and fortune daonin refuses to acknowledge her poor family and past livelihood for fear of losing her status lies started to pile up leading her into a corner where she has no choice but to face the consequences of her actions ,thailand,16,2018,drama , family , melodrama , romance , tragedy , thailand ,,,,,,
Petchakard Dao Jorn ,3.0,a young man from a humble family is drawn into a life of crime  and soon confronts a determined cop in hot pursuit ,thailand,16,2016,drama , action , drama , romance , thailand ,drama ,,,,,,
Roop Thong ,3.0,seua the perfect guy in the eyes of many women whom yearns for his fathers love since he was a child starts to feel sexually attracted to men and wants to stop it riawkhao the girl he loves who also loves him tries to turn the man back to straight moo on the other hand has a revenge in mind that involves seua and amber that started years ago how will the family turn out,thailand,18,2018,drama , drama , romance , tragedy , thailand ,drama ,,,,,,
Her Name is Boonrod ,2.5,when monchanoks parents move into a new home she starts to experience strange occurrences one night while her parents are away on a business trip mon hears a young mans voice coming from an antique painting left by the previous owners as she touches the painting it falls to the floor shattering the glass a mist surrounds mon as she loses consciousness when mon awakens she finds herself in a land and time not her own the man she is greeted by is none other than prince yuttana the man from the painting mon is confused and frightened she will soon learn who this man is her relationship to him and why she was brought back in time,thailand,20,2015,drama , comedy , romance , supernatural , thailand ,drama ,,,,,,
Bpoop Phaeh Saniwaat ,3.0,kadesurang is a 25yearold chubby archaeologist one day she suffers an accident after meeting karakades ghost and goes back in time to the ayutthaya era around 300 years ago she wakes up in karakades dead body right after she died karakade was a very mean and selfish person everyone hated her especially her betrothed date who liked another girl but his dad and karakades dad were best friends and they promised that their kids would marry each other karakade tries to kill her rival but her rivals servant dies instead date and his dad chant a spell in order to punish the culprit which results in karakades death after kadesurang wakes up in karakades body everyone around her is confused now that shes acting like a completely different person but her optimistic and playful personality slowly wins over everyone including date who falls in love with the new karakade,thailand,30,2018,drama , comedy , drama , fantasy , historical , romance ,,,,,,
My Hero Series: Heart of the Motherland ,3.0,techat is a spy whos hiding his identity awassiya is a sassy celebrity who is trying to reveal his true colors because of a misunderstanding techat tries to avoid the annoying girl that can cause the whole operation to fail but awassiya doesnt leave him alone especially after she finds out hes the guy the elders are trying to set her up with but everything becomes completely entangled when hes always savingher life and love grows unexpectedly,thailand,13,2018,drama , action , drama , romance , thailand ,drama ,hiranbuth visarutsupport role, , panlertwongskul manasnansupport role, nitiphon aphasirisupport role, penkul penpethsupport role, sirikul penpaktechinisupport role
Nueng Dao Fah Diew ,3.0,during the reign of king ekkathat in ayutthaya kingdom mang mao was the daughter of ming a rich man who was the owner of a paper factory mang mao was also famous in her own right for being mischievous considering she escaped arranged dates many times one time she ran from an arranged date again and coincidentally met sri khan thin he didnt like her mischievousness mang mao hated the way sri khan thin tried to admonish her so she often created chaos around him without knowing he was actually khan thong the son of suea khun thong who was a notorious dead bandit khan thong disguised himself as a eunuch in the royal palace in order to investigate his parents death  adapted from a novel with the same title by author wannawat,thailand,17,2018,drama , action , drama , historical , political , romance ,,,,,,
Lhong Fai ,2.5,karnkaew a girl studying in the province bangkok she can upgrade herself to a higher class when she gets an income as a courtesan her best friend is chala an unambitious girl who works as waitress to paid her credit fee karnkaew goes out with gunchorn a teacher who teaches at that school meanwhile she flirts with arwut her boss at the company but she decides to break off with both of them because shes wants to live a luxurious life and both gunchorn and arwut cant afford these things for her so she needs to find new man who can give her a luxurious life,thailand,27,2017,drama , melodrama , romance , tragedy , thailand ,drama ,,,,,,
Ngao Arthun ,3.0,jayramai a rising singer who was going to be wellknown in the show biz faces a turning point when he meets malika a reporter from a magazine that interviews him on the day he wins a popular song award after that his mother tells him about his grandfathers death and she reveals a secret  jayramai has to take care of nung talung his grandfathers property jayramai calls it haunted nung talung after getting there he meets a female ghost that has waited for him for a long time she does everything to get him back shes even obsessed over katreeya a superstar who likes him jayramai starts to wonder about his past life especially when he sees malika its like theres a bond that connects them but the ghost is not giving up if he doesnt love her she will kill him whether it has passed 10 or a 100 years but from now on he must live with her only,thailand,26,2017,drama , drama , historical , horror , romance , thailand ,,,,,,
Nakark Kaew ,3.0,nudda and lookkaew two women who are different in everything must get involved with each other because of a accident this is hidden on plastic surgery everyone needs to investigate about this thing ,thailand,23,2018,drama , drama , romance , thailand ,drama ,drama ,maprang alrisadr. kwansupport role, piyathida mitrteerarojrachawadeemain role, hongmanop phutanatedr. gosonmain role, film thanapat kawilarathmain role,maprang alrisadr. kwansupport role,maprang alrisadr. kwansupport role
The Gifted ,3.5,ritdha high schoolthe school that not only has gifted students but also the gifted program a gifted class with only a handful of students were chosen to be study in this program only those who are special unfortunately pang the poor 10thgrade student suddenly passed the gifted placement test for unknown reason his entrance to the gifted program was filled with confusion he and his new friends in the class started to feel that there is something strange about this class eventually they figure out that this gifted program is unleashing something about their potential in themselves to be awaken their lives are about to change when great power that fulfill all their dreams comes with troubles moreover their gift is about to reveal a secret that this school tries to hide,thailand,13,2018,drama , fantasy , friendship , school , sci-fi , supernatural ,o patha thongpandirector, techarukpong chatchawitteacher pomsupport role, , teacher laddasupport role, dome jarupat kannuladirector, aj chayapol jutamatjacksupport role
Sai Lub Jub Abb ,3.0,pornnangfah is on a mission to find out if a member of the boy group blue prince is gay or not she will have to disguise herself as an innocent girl who is their fan,thailand,13,2017,drama , comedy , romance , thailand ,drama ,drama ,sirananon rangsitchayuthsupporting role, patricia tanchanok good patphornnangfahmain role, vejvongsa bhuvadolblue princes kevinsupporting role, chatborirak pakornpateemain role,sirananon rangsitchayuthsupporting role,sirananon rangsitchayuthsupporting role
Yuttakarn Prab Nang Marn ,3.0,rumpapat has to take her fathers place as the executive producer of a film production company her name means angel but everyone looks at her as the devil she can hit everyone with her eyes and kill them with her words yuttakarn whos a player and cunning is her new secretary he needs to quell her with his plan,thailand,15,2018,drama , comedy , romance , thailand ,drama ,drama ,luevisadpaibul pimchanokrumpapatmain role, chuaykua laphasradasupport role, thongchua petesupport role, pupae ramawadee sirisukasupport role, phiangphor sarasathaphengyuttakarnmain role,luevisadpaibul pimchanokrumpapatmain role
Mint To Be ,3.0,bebe is a net idol trying to leave behind her a dark past but she goes back to mint her ex boyfriend will this love return ,thailand,32,2018,drama , comedy , family , romance , thailand ,drama ,nara thepnupabambamsupport role, kuariyakul jirakitwavesupport role, sangpotirat perawatmintmain role, maripha siripoolnoksupport role, winyuttha chanthasukoatsupport role, phumphothingam nawatbosupport role
Sanae Rak Nang Cin ,3.0,prim is an orphan she and her two best friends boot and rita work at one of p pauls shoe stores and prim dreams of becoming a shoe designer after an incident they get fired from their jobs and decide to go on vacation to phuket there the girls attend a party while pretending to be rich at the party they meet phuree wat and touch theyre all rich and phuree is the heir of p pauls shoe brand their relationship started as phuree wanted to show that prim and her buddies were deceivers so the guys also lied about who they really are to get closer to the girls and lure them into confessing but after spending so much time together phuree and prim fell in love though they confessed that they loved each other things didnt ended up as prim found out phurees real identity and that he already had a fiancee,thailand,12,2018,drama , comedy , romance , thailand ,drama ,drama ,,,,,,
Sampatan Huajai ,3.0,ratthawan wan is a married woman with two children her husband cheated on her with her best friend and together they plotted a plan to murder her so he can take over her company and assets the murder plot failed and wan was able to escape to an island where she met naboon hes the owner of the island and a businessman they didnt get along at first but eventually they did and fell in love with one another,thailand,25,1997,drama , drama , romance , thailand ,drama ,drama ,,,,,,
Plerng Rak Fai Marn ,3.0,tons father has committed suicide after his mistress khun ji left him for the paralyzed but mega rich playboy millionaire khun narin the lamentable situation he faced has caused the young ton to live with undying hatred on the mistress family an older ton then pretended to work at his rivals hotel company in order to satisfy his revenge he also had an affair with khun ji khun ja a family member of khun ji and khun narin has come back from abroad she was suspicious with ton and khun jis relationship but could not help herself to fall for ton the relationship among these three was complicated when khun ja found out ton and khun ji kissing and almost making out in the office she then decided to investigate tons background,thailand,20,2017,drama , drama , romance , thailand ,drama ,drama ,,,,,,
Great Men Academy ,3.5,"synopsis of the great men academy drama
its called a very warm atmosphere when the tv channel along with the young actors rising stars uniting together to attend the great men academy series drama a manly gentlemans school to be able to reach the heart of the heart led by khun palapa manoj the head of line tv business line thailand anan pingkriengkrai wachirathamporn and actors who are invited to scream so much such as jjkrishnaphum phibunsong jamestheeradon supapan phinyo captainchonthathorn khongyingyong tedlompas ngamchuang porschesiwakorn adul sutthikul iceparis intarakomol sut jackiechakin kangwan kiatchai etc directed by twins wan waew hongwiwat and waewwan hongwiwat the atmosphere is very warm and crowded",thailand,8,2019,drama , comedy , romance , school , youth , thailand , sivakorn adulsuttikulmain role, jackrin kungwankiatichaimain role, chatchaipholrat nichaphatsupport role, chanyapuk numprasopmain role, kongyingyong\ufeff chonlathornmain role, supapunpinyo teeradonmain role
Barb Rak Ta Lay Fun ,3.0,mind is trying to find a way to escape with her little sister from her stepmother who wants to sell her to provide sexual services to paying her gambling debts fugitives find shelter in the resort there mind meets satra the resorts owner and falls in love with him satra is also interested but was shocked when he found out that her father is the person responsible for his familys tragedy when mind thinks that she is able to find the love of her dreams everything destroyed because of vengeance will it be very easy for him to betray her trust what will happen between them how will this revenge end,thailand,31,2017,drama , drama , romance , thailand ,drama ,drama ,,,,,,
Tra Barb See Chompoo ,3.0,do not be afraid under the handsome look he has never had eyes and groom the little girl who falls in love with him but one day heart is strong she stepped up as dear daddy with his heart broken in his heart prakan decided to turn his family to four years,thailand,20,2018,drama , comedy , romance , thailand ,drama ,drama ,nawasch phupantachseepetemain role, sarasawadee wongsompetchdirector, ongumpai wansirikangsadanmain role,nawasch phupantachseepetemain role,nawasch phupantachseepetemain role,nawasch phupantachseepetemain role
Jao Sao Jum Yorm ,3.0,the princess of entertainment maysarin has to become the bride of a man she has never met a man who has the heart of satan who is arrogant and spoiled maysarin has to do whatever to stop this wedding but at the wedding someone takes a picture of her and forces her hand she has to go and discuss with thaen the millionaire she once labelled as a heartless satan ,thailand,16,2018,drama , drama , romance , thailand ,drama ,drama , yokakul wanvipanapatsupport role, benchamat danhiranratscreenwriter, khunwat nuttanansupport role, watcharatrakul fonthipmaysarin  maymain role, phongsakon tosuwansaroot  rootsupport role, support role
Dok Yah Nai Payu ,3.0,its a romantic drama about a girl who resents her dad because he left her and her mom and got remarried so she aims to use her halfsisters fiancee as bait to get revenge but love blossoms after they became close,thailand,31,2018,drama , comedy , drama , romance , thailand ,drama ,,,,,,
Drag Race Thailand ,3.0,drag race thailand is a drag show that premiered on february 15 2018 on line tv the show is hosted by art arya and pangina heals the first season featured 10 contestants which will be competing for the title of thailands first drag superstar and a cash prize of 500000,thailand,10,2018,drama , game-show , thailand ,drama ,drama ,drama ,,,,,,
Krong Karm ,3.0,yoi has four sons pathom prasong kamol and mongkol pathom  the eldest son falls in love with a prostitute named reynu and brings her home as a wife but yoi despises her and they encounter many obstacles she will do anything to try to get rid of reynu kamol the 3rd son has two wives piangpen and jantra he was forced to marry piangpen but the one he really loves is jantra kamol is the only friendly person to reynu in the family and they develop a brother and sister relationship prasong the 2nd son is married to pilai who also wants to get rid of reynu mongkol  the youngest son is a cunning and sassy guy the story will revolve around the relationships within this large family,thailand,24,2019,drama , drama , family , historical , romance , thailand , pawanrat naksuriyasupport role, screenwriter, oranate d. caballespiangpensupport role, rudklao amratishanang yaemsupport role, sithisaman natthaniramsupport role, pie rinrada kaewbuasaivannasupport role
Pachara Montra ,3.0,phachromrat is a television drama fantasymysterious romance comes from the story of pettagoms praditkalakrit produced by kantana group public company limited theatrical organizer by chitralada dissanantaprakan kanta  eung arun television role by leaning on phra phra phloeng directed by anuwat thanomrod starred by sukonwat kanaras melada suri hana lewis rapeepat ekpapan kul barmita sakorn chan kongkaphan sangsuriya ing fah ketkam and many more talented actors broadcast on channel 7 hd broadcast every day every friday at 2045 hrs and saturday sunday at 2030 hrs starting on friday 22 february 2019 from drama inspector,thailand,,2019,drama , comedy , drama , fantasy , mystery , romance ,lewis hanasupport role, bow maylada susrimain role, lumpraploeng pingscreenwriter, kanarot sukollawatmain role, puwadol nawapolsupport role, eakpankul rapeepatsupport role
The Judgement ,3.0,a scandalous clip was spread on social media and the likes and shares ruined someones life ,thailand,40,2018,drama , comedy , family , fantasy , vampire , thailand ,anchuleepradit nontanunmain role, jiravechsoontornkul wirapornmain role, wijitwongthong tanutchaisupport role, thanabordee jaiyensupport role, nara thepnupasupport role, premanan fifasupport role
Minor Wife ,3.0,a woman finds herself becoming a mistress to an abusive man to protect her parents later she becomes the mistress of a powerful man whos old enough to be her grandfather she finds love but it will not be easy the man she loves is related to the man she currently serves,thailand,22,2019,drama , drama , romance , thailand ,drama ,drama , nitiphon aphasirikaninsupport role, jittateeraroj pimnipasupport role, chanokwanun rakcheepsupport role, salitun dueantemsupport role, prasertwattanakul apinunsupport role, khemklad somchaisupport role
Mia  ,3.0,aruna and thada are the perfect match who have a beautiful daughter many people are jealous of this happy family upon returning from abroad arunas cousin kanya moves in with her family things become complicated when kanya gets sexually involved with thada who will thada choose in the end how will aruna cope with her husbands decision,thailand,24,2018,drama , drama , family , romance , thailand ,drama ,sakakorn pitchanartmuninsupport role, broenner mariekanyamain role, thongchua petesuchartsupport role, jongrachatawiboon namthiparunamain role, film thanapat kawilavasinmain role, san srikaeolodirector
Tukta Phee ,3.0,pangrum is a 7 year old girl who only talks to a doll named wawa which her father bought for her he later killed himself in front of her and nuanthip her mother remarried they have a jade doll as a family asset and there are people who want it after nuanthip dies accidentally pangrum is adopted by relatives she put the jade on wawa so no one will steal it the power of the jade doll attracts nuanthips spirit and other spirits around there ,thailand,,2019,drama , drama , horror , mystery , romance , thailand,sakdikul somlekuncle thepsupport role, jongkesakorn ekkaphongthadasupport role, , tikumpornteerawong chaleumpolmoo tunsupport role, jaron soratatirut  rutmain role, aunt saisupport role
Nuay Lub Salub Love ,3.0,inspector chanathip has to go undercover to investigate a drug dealer gang disguised as the manager of superstar nubdao after she got shot by someone for being in possession of a memory card that has a client list of an international drug dealer organization chanathip must pretend to be gay and take care of nubdao who is dirty and lazy at first theyre always fighting because she dislikes him but they eventually start falling for each other thats just the beginning of their chaotic relationship ,thailand,11,2019,drama , action , comedy , romance , thailand ,drama , saowakornsupport role, oranate d. caballesranchida  pupesupport role, suphakan thanongsakryansupport role, phongsupan narumonsaowakornsupport role, rachapal yardthiprungpraosupport role, rittironsupport role
Buang Nareumit ,2.5,kwanuma is a famous actress who accepted a role in the drama roy adeed based on a novel by a writer who died a long time ago shes not happy after reading the script but she vaguely remembers something while reading it she decides to buy the original novel and meets theeratch accidentally hes part of the crew in the lakorn they feel attracted to each other as if the novels story is their story,thailand,18,2019,drama , drama , mystery , romance , supernatural , thailand ,sirikul penpakviyada  visupport role, samipak sawitreepattamasupport role, , kongthai peeraneekwanuma  chomchalao  chatchanokmain role, neua yensupport role, pat napapa thantrakulornapha  pimkae  kanokkaemain role
Love Songs Love Series: Kwarm Cheua ,3.0,kit is a model student whos going to receive a scholarship to study abroad but problems arise and olarn came to inform that kit and 4 other students wont receive the scholarship the only way to solve this problem is that all of them must gather to form a band to compete in place of the old school band kit therefore gathered tam farang tao ki and fang theyre not confident that theyll win the competition and they face various obstacles but teacher ben is always there to help encourage them ,thailand,24,2018,drama , friendship , music , school , thailand ,drama ,kumoun maneeratteacher benmain role, olive chiwpreecha thitichayafangsupport role, tantimaporn supawittamsupport role, ratanaumnuayshai boonyakornkitmain role,kumoun maneeratteacher benmain role,kumoun maneeratteacher benmain role
War of High School The Series ,3.0,a convent only for girls will allow boys for the first time these new students will bring a war between the girls while the whole school tries to deal with the mysterious death of a student named jessica in the middle of this war pound a shy and polite kid will have his attention disputed between violine and pim will everyone survive by the end of this war,thailand,12,2016,drama , mystery , romance , youth , thailand ,drama ,visava thaiyanontchomain role, thanasrivanitchai pakornknockmain role, diloknawarit nattapolkornmain role, bumrungkit pimnitchakunyihwamain role,visava thaiyanontchomain role,visava thaiyanontchomain role
Wolf ,3.0,5 people with 25 missions to hunt for strangers across asia,thailand,24,2018,drama , action , adventure , crime , friendship , suspense ,x nuttapong mongkolsawasdirector, udomsilp sutattamomain role, thitipoom techaapaikhunplanmain role, adulkittiporn jumpolpormain role, rakkaen tonidonmain role, first kanaphan puitrakulryomain role
'Cause You're My Boy ,3.0,this is the story of mork a grade 11 mischievous boy who sells porn dvds at his fathers barber shop when his father leaves a handsome boy tee in the middle of a haircut mork attempts his first haircut which ended in tee having a terrible hair and leaving extremely mad thus begun rounds of revenge between the two boys one day when tee is with his girlfriend bambi mork hands gay porn dvds to tee leading bambi and the rest of the boys school to believe that tee is gay resulting in bambi leaving tee mork is then asked by tee to take responsibility and asks him to be a makebelieve boyfriend to make bambi jealous and get back together with him but during the course of their makebelieve relationship they start to develop real feelings for each other,thailand,12,2018,drama , drama , romance , youth , thailand ,drama , ciize apichaya saejungchingsupport role, bambiesupport role, neo trai nimtawatgordmain role, noon sutthipha kongnawdeebambiesupport role, drake sattabut laedekemorkmain role, support role
Nai Keun Nao Sang Dao Yung Oun ,3.0,lew or lawita a famous model became scandalous when news broke out that she was heartbroken from her boyfriend and tried to commit suicide she survived that attempt but ended up having amnesia of the man she loved like a part of her life was missing this causes her to go and try to regain those memories back she decides to go to chiang khan a small town in northern thailand where her and traipob met and worked together it was a quiet place where lew was able to escape reporters bombarding her about her suicide attempt that quietness turned into loneliness for her she gets nightmares during the night and she feels deep down inside danger is after her pawat a piano teacher was heartbroken from his love from his stepsister the girl who he cant love since his heart wasnt strong enough he took off to mend his heart in a little town called chiang khan a homestay called lom nao dao oun cold wind warm star welcomed lew and pawat to the town and dramas and incidents followed thereafter between a girl with amnesia and a cold and aloof guy that detest people who dont love themselves at first these two didnt get along but later pity and empathy turned into love but the problem is she has a boyfriend whom she forgotten about plus her mysterious nightmares and dreams shes been having which both will work together to find the truth source asianfusenet  adapted from a novel of the same name by satarat,thailand,18,2018,drama , drama , romance , suspense , thailand ,drama , chap varakornsongpol  polsupport role, doonwichit sattawatsia manoonsupport role, suwanno panupeksupport role, traipope  traisupport role, support role, toongkamanee duangtakhun ying mayurasupport role
Jao Saming ,3.0,he is a man that was cursed to be a saming he comes to meet his first love again he must protect her from outlaws in the forest even if he risks being revealed and injured by another saming that wants to kill him however he has to do it for the woman he loves the fight to end the curse has begun the birth of a love that desires to be real vegeance surrounds him and he must fight for true happiness source asianfusenet,thailand,30,2018,drama , action , drama , fantasy , mystery , romance ,hussawee pakrapongpisanongtee  tawanmain role, wongtrakul thanayongja chaisupport role, teerathananpat anyarinmuayjerng  pimsaimain role, pongwilai suchaoakomsupport role, prombandal phutharitjor pahsupport role, attapanyapol poolaphatsansupport role
Girl from Nowhere: The Series ,3.0,many schoolgirls dont dare to do anything somebody become victim of bullying nanno new student who is representation of them she will bring peoples darkside out ,thailand,30,2018,drama , mystery , thailand ,drama ,drama ,drama ,up poompat iam-samanghoksupport role, paramacharenroj nutchapanneungsupport role, sapunpohng anuchitteacher torsupport role, chicha amatayakulnannomain role, netjui chonnikanmewsupport role, best nathasit kotimanuswanichdainohsupport role
Love at First Hate ,3.0,when a smart handsome and foul mouthed doctor paniti or dr pup met a hot sexy and thick superstar kluay who is not his type and also he is not her type they hated each other at first sight but when they have to live together something strange happened it looks like dr pup is falling in love with kluay to saved his face from what he talked before that she is not his type so he is trying to act and not to like her but can he what will the ending of this two be haters or lovers,thailand,30,2018,drama , comedy , detective , fantasy , thailand ,drama ,nitiphon aphasirisupport role, jennie panhansupport role, springett carissaploysupport role, lertchoochot sivakornsupport role, winyuttha chanthasuksupport role, seo ji yeonsupport role
