Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
The Hunting Genius ,3.0,lin yuan su meets die qi qiu ling xia gu duo and zhou qi after they all participate in a search for a missing dog the five people are of different ages come from different backgrounds and have very different personalities but they decide to form an agency that looks for missing people in their free time at first they dont see eyetoeye but after some time they form a strong friendship through their experiences of looking for missing people they each also find themselves and understand the true purpose of looking for people as the unlikely group of 5 gets closer lin yuan su finds the courage to start looking for his father who has been missing for 22 years and enlists his fellow hunters in helping him,chinese,36,2017,drama , action , drama , suspense , chinese ,drama ,fu jiazhou qimain role, hu yun haolin yuan sumain role, he huaying nimain role, chung kennyqiu lingmain role,fu jiazhou qimain role,fu jiazhou qimain role
Undercover ,3.0,police officer bao yu is working undercover as drug dealer jin feis subordinate and is eventually able to work directly under powerful drug lord tian jing after befriending his daughter tang guo however bao yu is not fighting the drug cartel alone  he also has a support network including fellow undercover colleague and romantic interest guan xiao zhi police chief fang qing long and antinarcotics team leader lian zhong,chinese,43,2017,drama , action , drama , chinese ,drama ,drama ,tong kenttian jing  ninth mastersupporting role, li qintian tang guo role, liu yi junlian zhongmain role, zhang jia yifang qing longmain role, zhai ronaldqin yuesupporting role, lin shenbao yu  guo shao xinmain role
The Ten Deadly Sins ,2.5,hua long su mei bao zhan and professor liang comprise the sig special investigation group this group deals with the extremely abnormal and twisted investigations of homicide cases that are difficult to crack in the process of solving the cases each member must face their own dangers conspiracy and growth,chinese,21,2016,drama , action , crime , detective , chinese ,drama ,tsang ericliang shu yemain role, zhang hao chengmai xisupporting role, zhang hanhua longmain role, dai ting ruisupporting role, yu xiao tongbao zhanmain role,tsang ericliang shu yemain role
A Scholar Dream of Woman ,3.0,early republic times around 1911 chen bi yun a prodigy from the south is willing to battle for her right to study in order to find out the truth behind her fathers death she puts her own happiness on the line risking it all while marrying into xuan family wealthy owners of the biggest library this step however instead of bringing her closer to her beloved books will throw her into internal power struggles between different members of the family will she be able to overcome the storms and gain the right to pursue her scholar dreams,chinese,47,2015,drama , business , drama , family , chinese ,drama ,mao zi junwu shisupporting role, wu janicexuan ming yuesupporting role, hou rui xianger li zisupporting role, zi weixuan ze ensupporting role, zhang lemonshen bi yunmain role, han dongxuan xiao jimain role
Royal Sister Returns ,3.0,emts president tries to force his daughter ai mi er to marry long ke companys he yi kun the eldest of the presidents sons for a business alliance ai mi er runs away to receive help from her boyfriend peter and coincidentally ends up as the housemaid for he kai xin the younger brother of he yi kun,chinese,36,2017,drama , business , drama , family , chinese ,drama ,zhu yi longhe kai xinmain role, huang maggiexia qing qingmain role, zheng xiao ningsupporting role, chen mu yangunknown role,zhu yi longhe kai xinmain role,zhu yi longhe kai xinmain role
Who is The Letter From ,3.0,jia yang in the mist of poverty bumped into a rival in love from yester years after a few words of insults he got to know the real reason of his breakup with his first love during student days ge ying he went to explain to ge ying but was rejected outside her house however by a series of coincidences jia yang went back to school to write his final love letter unexpectedly the love letter opened a time travel portal leading jia yang to experience a series of differing love journeys during these journeys jia yang finally understood what his heart truly wants therefore he bravely pursuing true love pursuing his journey to the future with resolve,chinese,20,2017,drama , drama , romance , chinese ,drama ,drama ,,,,,,
All About Secrets ,3.0,lier who recently broke up with zhang yang is now teaching in tian yi high school lier has a charming air about her and also has a refreshing teaching style no matter its during class or interaction with the students she is always full of a certain charm that is not found in other teachers soon lier becomes popular and loved by the student community duan baiwen yu chizi si jiali are 3rd years high school seniors in their adolescence they face the usual bgr emotional troubles and concerns with liers help and guidance the students manage to weather these challenges concentrating their energies on the coming high school examination gao kao and from there beginning a new phase in their young lives,chinese,24,2017,drama , comedy , drama , romance , youth , chinese ,liu jian yufeng san shuisupporting role, liang arieljin suosupporting role, yu zhi huisi jia lisupporting role, li landyyu chi zimain role, chen zhe yuanduan bai wenmain role,liu jian yufeng san shuisupporting role
Stairway to Stardom ,3.0,su cheng is a college senior who is a diehard fan of yen chu fei in order to get close to her idol she starts working as a personal assistant for a celebrity and eventually signs with a management company headed by duan cheng xuan her life decisions dont seem to be inspired inspired by the smartest reasons but this is also a story of selfdiscovery as the budding actress learns to develop a passion for the stage,chinese,50,2017,drama , romance , chinese ,drama ,drama ,drama , liu minlin wan ruosupporting role, kasetsin puttichaiduan cheng xuanmain role, wang oliviaherself role, yang jin chengjerry role, xu jia qisong jia ni role, han ceciliaduan ling weimain role
Ode to Gallantry ,3.0,shi qing and his wife have two sons the younger son shi zhong jian was killed by a vile woman who was obsessed with shi qing because of the loss of a child the eldest son shi zhong yu was raised coddled and spoiled by his mother left with no choice shi qing sends his son away hoping that he will make a man out of himself under the tutelage of lin yun city three years later it is said that the black iron tablets have resurfaced in jianghu aka martial arts world and that whoever obtains said objects will be granted a wish in comes stumbling a beggar who becomes the focus of the story and he forms an unlikely friendship with shi zhong yu,chinese,32,2017,drama , drama , wuxia , chinese ,drama ,drama ,zhang jennymain role, ma lingshi xiao cuisupporting role, sun krissupporting role,zhang jennymain role,zhang jennymain role,zhang jennymain role
Princess Agents ,3.5,the story revolves around an agent who is killed in action and timetravels into the body of a slave girl during the xia dynasty during the warring period the western wei enslaved large numbers of civilians the slave girl chu qiao  zhao li ying was thrown into the forest as a hunting target for rich lords through many trials and circumstances she caught the attention of zhuge yue lin geng xin together they tear down the slavery system,chinese,58,2017,drama , historical , political , romance , chinese ,drama , zhao zaniliachu qiao supporting role, peng duo duosupporting role, zhao zaniliachu qiao supporting role, zhao zaniliachu qiao supporting role, zhao zaniliachu qiao supporting role, zhao zaniliachu qiao supporting role
